player,period,stag,payoff,session
Team1,0,True,9,0
Team2,0,True,9,0
Team1,1,True,9,0
Team2,1,True,9,0
Team1,2,True,9,0
Team2,2,True,9,0
Team1,3,True,9,0
Team2,3,True,9,0
Team1,4,True,9,0
Team2,4,True,9,0
Team1,5,True,9,0
Team2,5,True,9,0
Team1,6,True,9,0
Team2,6,True,9,0
Team1,7,True,9,0
Team2,7,True,9,0
Team1,8,True,9,0
Team2,8,True,9,0
Team1,9,True,9,0
Team2,9,True,9,0
Team1,10,True,9,0
Team2,10,True,9,0
Team1,11,True,9,0
Team2,11,True,9,0
Team1,12,True,9,0
Team2,12,True,9,0
Team1,13,True,9,0
Team2,13,True,9,0
Team1,14,True,9,0
Team2,14,True,9,0
Team1,0,False,8,1
Team2,0,True,1,1
Team1,1,False,8,1
Team2,1,False,8,1
Team1,2,False,8,1
Team2,2,False,8,1
Team1,3,False,8,1
Team2,3,False,8,1
Team1,4,False,8,1
Team2,4,False,8,1
Team1,5,False,8,1
Team2,5,False,8,1
Team1,6,False,8,1
Team2,6,False,8,1
Team1,7,False,8,1
Team2,7,False,8,1
Team1,8,False,8,1
Team2,8,False,8,1
Team1,9,False,8,1
Team2,9,False,8,1
Team1,10,False,8,1
Team2,10,False,8,1
Team1,11,False,8,1
Team2,11,False,8,1
Team1,12,False,8,1
Team2,12,False,8,1
Team1,13,False,8,1
Team2,13,False,8,1
Team1,14,False,8,1
Team2,14,False,8,1
Team1,0,True,9,2
Team2,0,True,9,2
Team1,1,True,9,2
Team2,1,True,9,2
Team1,2,True,9,2
Team2,2,True,9,2
Team1,3,True,9,2
Team2,3,True,9,2
Team1,4,True,9,2
Team2,4,True,9,2
Team1,5,True,9,2
Team2,5,True,9,2
Team1,6,True,9,2
Team2,6,True,9,2
Team1,7,True,9,2
Team2,7,True,9,2
Team1,8,True,9,2
Team2,8,True,9,2
Team1,9,True,9,2
Team2,9,True,9,2
Team1,10,True,9,2
Team2,10,True,9,2
Team1,11,True,9,2
Team2,11,True,9,2
Team1,12,True,9,2
Team2,12,True,9,2
Team1,13,True,9,2
Team2,13,True,9,2
Team1,14,True,9,2
Team2,14,True,9,2
Team1,0,False,8,3
Team2,0,True,1,3
Team1,1,False,8,3
Team2,1,False,8,3
Team1,2,False,8,3
Team2,2,False,8,3
Team1,3,False,8,3
Team2,3,False,8,3
Team1,4,False,8,3
Team2,4,False,8,3
Team1,5,False,8,3
Team2,5,False,8,3
Team1,6,False,8,3
Team2,6,False,8,3
Team1,7,False,8,3
Team2,7,False,8,3
Team1,8,False,8,3
Team2,8,False,8,3
Team1,9,False,8,3
Team2,9,False,8,3
Team1,10,False,8,3
Team2,10,False,8,3
Team1,11,False,8,3
Team2,11,False,8,3
Team1,12,False,8,3
Team2,12,False,8,3
Team1,13,False,8,3
Team2,13,False,8,3
Team1,14,False,8,3
Team2,14,False,8,3
Team1,0,True,1,4
Team2,0,False,8,4
Team1,1,False,8,4
Team2,1,False,8,4
Team1,2,False,8,4
Team2,2,False,8,4
Team1,3,False,8,4
Team2,3,False,8,4
Team1,4,False,8,4
Team2,4,False,8,4
Team1,5,False,8,4
Team2,5,False,8,4
Team1,6,False,8,4
Team2,6,False,8,4
Team1,7,False,8,4
Team2,7,False,8,4
Team1,8,False,8,4
Team2,8,False,8,4
Team1,9,False,8,4
Team2,9,False,8,4
Team1,10,False,8,4
Team2,10,False,8,4
Team1,11,False,8,4
Team2,11,False,8,4
Team1,12,False,8,4
Team2,12,False,8,4
Team1,13,False,8,4
Team2,13,False,8,4
Team1,14,False,8,4
Team2,14,False,8,4
Team1,0,True,9,5
Team2,0,True,9,5
Team1,1,True,9,5
Team2,1,True,9,5
Team1,2,True,9,5
Team2,2,True,9,5
Team1,3,True,9,5
Team2,3,True,9,5
Team1,4,True,9,5
Team2,4,True,9,5
Team1,5,True,9,5
Team2,5,True,9,5
Team1,6,True,9,5
Team2,6,True,9,5
Team1,7,True,9,5
Team2,7,True,9,5
Team1,8,True,9,5
Team2,8,True,9,5
Team1,9,True,9,5
Team2,9,True,9,5
Team1,10,True,9,5
Team2,10,True,9,5
Team1,11,True,9,5
Team2,11,True,9,5
Team1,12,True,9,5
Team2,12,True,9,5
Team1,13,True,9,5
Team2,13,True,9,5
Team1,14,True,9,5
Team2,14,True,9,5
Team1,0,True,9,6
Team2,0,True,9,6
Team1,1,True,9,6
Team2,1,True,9,6
Team1,2,True,9,6
Team2,2,True,9,6
Team1,3,True,9,6
Team2,3,True,9,6
Team1,4,True,9,6
Team2,4,True,9,6
Team1,5,True,9,6
Team2,5,True,9,6
Team1,6,True,9,6
Team2,6,True,9,6
Team1,7,True,9,6
Team2,7,True,9,6
Team1,8,True,9,6
Team2,8,True,9,6
Team1,9,True,9,6
Team2,9,True,9,6
Team1,10,True,9,6
Team2,10,True,9,6
Team1,11,True,9,6
Team2,11,True,9,6
Team1,12,True,9,6
Team2,12,True,9,6
Team1,13,True,9,6
Team2,13,True,9,6
Team1,14,True,9,6
Team2,14,True,9,6
Team1,0,True,9,7
Team2,0,True,9,7
Team1,1,True,9,7
Team2,1,True,9,7
Team1,2,True,9,7
Team2,2,True,9,7
Team1,3,True,9,7
Team2,3,True,9,7
Team1,4,True,9,7
Team2,4,True,9,7
Team1,5,True,9,7
Team2,5,True,9,7
Team1,6,True,9,7
Team2,6,True,9,7
Team1,7,True,9,7
Team2,7,True,9,7
Team1,8,True,9,7
Team2,8,True,9,7
Team1,9,True,9,7
Team2,9,True,9,7
Team1,10,True,9,7
Team2,10,True,9,7
Team1,11,True,9,7
Team2,11,True,9,7
Team1,12,True,9,7
Team2,12,True,9,7
Team1,13,True,9,7
Team2,13,True,9,7
Team1,14,True,9,7
Team2,14,True,9,7
Team1,0,True,9,8
Team2,0,True,9,8
Team1,1,True,9,8
Team2,1,True,9,8
Team1,2,True,9,8
Team2,2,True,9,8
Team1,3,True,9,8
Team2,3,True,9,8
Team1,4,True,9,8
Team2,4,True,9,8
Team1,5,True,9,8
Team2,5,True,9,8
Team1,6,True,9,8
Team2,6,True,9,8
Team1,7,True,9,8
Team2,7,True,9,8
Team1,8,True,9,8
Team2,8,True,9,8
Team1,9,True,9,8
Team2,9,True,9,8
Team1,10,True,9,8
Team2,10,True,9,8
Team1,11,True,9,8
Team2,11,True,9,8
Team1,12,True,9,8
Team2,12,True,9,8
Team1,13,True,9,8
Team2,13,True,9,8
Team1,14,True,9,8
Team2,14,True,9,8
Team1,0,True,9,9
Team2,0,True,9,9
Team1,1,True,9,9
Team2,1,True,9,9
Team1,2,True,9,9
Team2,2,True,9,9
Team1,3,True,9,9
Team2,3,True,9,9
Team1,4,True,9,9
Team2,4,True,9,9
Team1,5,True,9,9
Team2,5,True,9,9
Team1,6,True,9,9
Team2,6,True,9,9
Team1,7,True,9,9
Team2,7,True,9,9
Team1,8,True,9,9
Team2,8,True,9,9
Team1,9,True,9,9
Team2,9,True,9,9
Team1,10,True,9,9
Team2,10,True,9,9
Team1,11,True,9,9
Team2,11,True,9,9
Team1,12,True,9,9
Team2,12,True,9,9
Team1,13,True,9,9
Team2,13,True,9,9
Team1,14,True,9,9
Team2,14,True,9,9
Team1,0,True,9,10
Team2,0,True,9,10
Team1,1,True,9,10
Team2,1,True,9,10
Team1,2,True,9,10
Team2,2,True,9,10
Team1,3,True,9,10
Team2,3,True,9,10
Team1,4,True,9,10
Team2,4,True,9,10
Team1,5,True,9,10
Team2,5,True,9,10
Team1,6,True,9,10
Team2,6,True,9,10
Team1,7,True,9,10
Team2,7,True,9,10
Team1,8,True,9,10
Team2,8,True,9,10
Team1,9,True,9,10
Team2,9,True,9,10
Team1,10,True,9,10
Team2,10,True,9,10
Team1,11,True,9,10
Team2,11,True,9,10
Team1,12,True,9,10
Team2,12,True,9,10
Team1,13,True,9,10
Team2,13,True,9,10
Team1,14,True,9,10
Team2,14,True,9,10
Team1,0,True,9,11
Team2,0,True,9,11
Team1,1,True,9,11
Team2,1,True,9,11
Team1,2,True,9,11
Team2,2,True,9,11
Team1,3,True,9,11
Team2,3,True,9,11
Team1,4,True,9,11
Team2,4,True,9,11
Team1,5,True,9,11
Team2,5,True,9,11
Team1,6,True,9,11
Team2,6,True,9,11
Team1,7,True,9,11
Team2,7,True,9,11
Team1,8,True,9,11
Team2,8,True,9,11
Team1,9,True,9,11
Team2,9,True,9,11
Team1,10,True,9,11
Team2,10,True,9,11
Team1,11,True,9,11
Team2,11,True,9,11
Team1,12,True,9,11
Team2,12,True,9,11
Team1,13,True,9,11
Team2,13,True,9,11
Team1,14,True,9,11
Team2,14,True,9,11
Team1,0,True,9,12
Team2,0,True,9,12
Team1,1,True,9,12
Team2,1,True,9,12
Team1,2,True,9,12
Team2,2,True,9,12
Team1,3,True,9,12
Team2,3,True,9,12
Team1,4,True,9,12
Team2,4,True,9,12
Team1,5,True,9,12
Team2,5,True,9,12
Team1,6,True,9,12
Team2,6,True,9,12
Team1,7,True,9,12
Team2,7,True,9,12
Team1,8,True,9,12
Team2,8,True,9,12
Team1,9,True,9,12
Team2,9,True,9,12
Team1,10,True,9,12
Team2,10,True,9,12
Team1,11,True,9,12
Team2,11,True,9,12
Team1,12,True,9,12
Team2,12,True,9,12
Team1,13,True,9,12
Team2,13,True,9,12
Team1,14,True,9,12
Team2,14,True,9,12
Team1,0,True,9,13
Team2,0,True,9,13
Team1,1,True,9,13
Team2,1,True,9,13
Team1,2,True,9,13
Team2,2,True,9,13
Team1,3,True,9,13
Team2,3,True,9,13
Team1,4,True,9,13
Team2,4,True,9,13
Team1,5,True,9,13
Team2,5,True,9,13
Team1,6,True,9,13
Team2,6,True,9,13
Team1,7,True,9,13
Team2,7,True,9,13
Team1,8,True,9,13
Team2,8,True,9,13
Team1,9,True,9,13
Team2,9,True,9,13
Team1,10,True,9,13
Team2,10,True,9,13
Team1,11,True,9,13
Team2,11,True,9,13
Team1,12,True,9,13
Team2,12,True,9,13
Team1,13,True,9,13
Team2,13,True,9,13
Team1,14,True,9,13
Team2,14,True,9,13
Team1,0,False,8,14
Team2,0,True,1,14
Team1,1,False,8,14
Team2,1,False,8,14
Team1,2,False,8,14
Team2,2,False,8,14
Team1,3,False,8,14
Team2,3,False,8,14
Team1,4,False,8,14
Team2,4,False,8,14
Team1,5,False,8,14
Team2,5,False,8,14
Team1,6,False,8,14
Team2,6,False,8,14
Team1,7,False,8,14
Team2,7,False,8,14
Team1,8,False,8,14
Team2,8,False,8,14
Team1,9,False,8,14
Team2,9,False,8,14
Team1,10,False,8,14
Team2,10,False,8,14
Team1,11,False,8,14
Team2,11,False,8,14
Team1,12,False,8,14
Team2,12,False,8,14
Team1,13,False,8,14
Team2,13,False,8,14
Team1,14,False,8,14
Team2,14,False,8,14
Team1,0,True,9,15
Team2,0,True,9,15
Team1,1,True,9,15
Team2,1,True,9,15
Team1,2,True,9,15
Team2,2,True,9,15
Team1,3,True,9,15
Team2,3,True,9,15
Team1,4,True,9,15
Team2,4,True,9,15
Team1,5,True,9,15
Team2,5,True,9,15
Team1,6,True,9,15
Team2,6,True,9,15
Team1,7,True,9,15
Team2,7,True,9,15
Team1,8,True,9,15
Team2,8,True,9,15
Team1,9,True,9,15
Team2,9,True,9,15
Team1,10,True,9,15
Team2,10,True,9,15
Team1,11,True,9,15
Team2,11,True,9,15
Team1,12,True,9,15
Team2,12,True,9,15
Team1,13,True,9,15
Team2,13,True,9,15
Team1,14,True,9,15
Team2,14,True,9,15
Team1,0,True,1,16
Team2,0,False,8,16
Team1,1,False,8,16
Team2,1,False,8,16
Team1,2,False,8,16
Team2,2,False,8,16
Team1,3,False,8,16
Team2,3,False,8,16
Team1,4,False,8,16
Team2,4,False,8,16
Team1,5,False,8,16
Team2,5,False,8,16
Team1,6,False,8,16
Team2,6,False,8,16
Team1,7,False,8,16
Team2,7,False,8,16
Team1,8,False,8,16
Team2,8,False,8,16
Team1,9,False,8,16
Team2,9,False,8,16
Team1,10,False,8,16
Team2,10,False,8,16
Team1,11,False,8,16
Team2,11,False,8,16
Team1,12,False,8,16
Team2,12,False,8,16
Team1,13,False,8,16
Team2,13,False,8,16
Team1,14,False,8,16
Team2,14,False,8,16
Team1,0,True,9,17
Team2,0,True,9,17
Team1,1,True,9,17
Team2,1,True,9,17
Team1,2,True,9,17
Team2,2,True,9,17
Team1,3,True,9,17
Team2,3,True,9,17
Team1,4,True,9,17
Team2,4,True,9,17
Team1,5,True,9,17
Team2,5,True,9,17
Team1,6,True,9,17
Team2,6,True,9,17
Team1,7,True,9,17
Team2,7,True,9,17
Team1,8,True,9,17
Team2,8,True,9,17
Team1,9,True,9,17
Team2,9,True,9,17
Team1,10,True,9,17
Team2,10,True,9,17
Team1,11,True,9,17
Team2,11,True,9,17
Team1,12,True,9,17
Team2,12,True,9,17
Team1,13,True,9,17
Team2,13,True,9,17
Team1,14,True,9,17
Team2,14,True,9,17
Team1,0,True,9,18
Team2,0,True,9,18
Team1,1,True,9,18
Team2,1,True,9,18
Team1,2,True,9,18
Team2,2,True,9,18
Team1,3,True,9,18
Team2,3,True,9,18
Team1,4,True,9,18
Team2,4,True,9,18
Team1,5,True,9,18
Team2,5,True,9,18
Team1,6,True,9,18
Team2,6,True,9,18
Team1,7,True,9,18
Team2,7,True,9,18
Team1,8,True,9,18
Team2,8,True,9,18
Team1,9,True,9,18
Team2,9,True,9,18
Team1,10,True,9,18
Team2,10,True,9,18
Team1,11,True,9,18
Team2,11,True,9,18
Team1,12,True,9,18
Team2,12,True,9,18
Team1,13,True,9,18
Team2,13,True,9,18
Team1,14,True,9,18
Team2,14,True,9,18
Team1,0,True,9,19
Team2,0,True,9,19
Team1,1,True,9,19
Team2,1,True,9,19
Team1,2,True,9,19
Team2,2,True,9,19
Team1,3,True,9,19
Team2,3,True,9,19
Team1,4,True,9,19
Team2,4,True,9,19
Team1,5,True,9,19
Team2,5,True,9,19
Team1,6,True,9,19
Team2,6,True,9,19
Team1,7,True,9,19
Team2,7,True,9,19
Team1,8,True,9,19
Team2,8,True,9,19
Team1,9,True,9,19
Team2,9,True,9,19
Team1,10,True,9,19
Team2,10,True,9,19
Team1,11,True,9,19
Team2,11,True,9,19
Team1,12,True,9,19
Team2,12,True,9,19
Team1,13,True,9,19
Team2,13,True,9,19
Team1,14,True,9,19
Team2,14,True,9,19
Team1,0,True,9,20
Team2,0,True,9,20
Team1,1,True,9,20
Team2,1,True,9,20
Team1,2,True,9,20
Team2,2,True,9,20
Team1,3,True,9,20
Team2,3,True,9,20
Team1,4,True,9,20
Team2,4,True,9,20
Team1,5,True,9,20
Team2,5,True,9,20
Team1,6,True,9,20
Team2,6,True,9,20
Team1,7,True,9,20
Team2,7,True,9,20
Team1,8,True,9,20
Team2,8,True,9,20
Team1,9,True,9,20
Team2,9,True,9,20
Team1,10,True,9,20
Team2,10,True,9,20
Team1,11,True,9,20
Team2,11,True,9,20
Team1,12,True,9,20
Team2,12,True,9,20
Team1,13,True,9,20
Team2,13,True,9,20
Team1,14,True,9,20
