player,period,stag,payoff
Team1,0,True,1
Team2,0,False,8
Team1,1,False,8
Team2,1,False,8
Team1,2,False,8
Team2,2,False,8
Team1,3,False,8
Team2,3,True,1
Team1,4,False,8
Team2,4,True,1
Team1,5,False,8
Team2,5,True,1
Team1,6,False,8
Team2,6,False,8
Team1,7,False,8
Team2,7,False,8
Team1,8,False,8
Team2,8,True,1
Team1,9,False,8
Team2,9,True,1
Team1,10,False,8
Team2,10,True,1
Team1,11,False,8
Team2,11,False,8
Team1,12,False,8
Team2,12,True,1
Team1,13,False,8
Team2,13,True,1
Team1,14,False,8
Team2,14,False,8
Team1,0,True,1
Team2,0,False,8
Team1,1,False,8
Team2,1,False,8
Team1,2,False,8
Team2,2,False,8
Team1,3,False,8
Team2,3,True,1
Team1,4,False,8
Team2,4,True,1
Team1,5,False,8
Team2,5,True,1
Team1,6,False,8
Team2,6,False,8
Team1,7,False,8
Team2,7,False,8
Team1,8,False,8
Team2,8,True,1
Team1,9,False,8
Team2,9,True,1
Team1,10,False,8
Team2,10,True,1
Team1,11,False,8
Team2,11,False,8
Team1,12,False,8
Team2,12,True,1
Team1,13,False,8
Team2,13,True,1
Team1,14,False,8
Team2,14,False,8
Team1,0,True,1
Team2,0,False,8
Team1,1,True,1
Team2,1,False,8
Team1,2,False,8
Team2,2,False,8
Team1,3,False,8
Team2,3,True,1
Team1,4,False,8
Team2,4,True,1
Team1,5,False,8
Team2,5,True,1
Team1,6,False,8
Team2,6,False,8
Team1,7,False,8
Team2,7,False,8
Team1,8,False,8
Team2,8,True,1
Team1,9,False,8
Team2,9,True,1
Team1,10,False,8
Team2,10,True,1
Team1,11,False,8
Team2,11,False,8
Team1,12,False,8
Team2,12,True,1
Team1,13,False,8
Team2,13,True,1
Team1,14,False,8
Team2,14,False,8
Team1,0,True,1
Team2,0,False,8
Team1,1,False,8
Team2,1,False,8
Team1,2,False,8
Team2,2,False,8
Team1,3,False,8
Team2,3,True,1
Team1,4,False,8
Team2,4,True,1
Team1,5,False,8
Team2,5,True,1
Team1,6,False,8
Team2,6,False,8
Team1,7,False,8
Team2,7,False,8
Team1,8,False,8
Team2,8,True,1
Team1,9,False,8
Team2,9,True,1
Team1,10,False,8
Team2,10,True,1
Team1,11,False,8
Team2,11,False,8
Team1,12,False,8
Team2,12,True,1
Team1,13,False,8
Team2,13,True,1
Team1,14,False,8
Team2,14,False,8
Team1,0,True,1
Team2,0,False,8
Team1,1,False,8
Team2,1,False,8
Team1,2,False,8
Team2,2,False,8
Team1,3,False,8
Team2,3,True,1
Team1,4,False,8
Team2,4,True,1
Team1,5,False,8
Team2,5,True,1
Team1,6,False,8
Team2,6,False,8
Team1,7,False,8
Team2,7,False,8
Team1,8,False,8
Team2,8,True,1
Team1,9,False,8
Team2,9,True,1
Team1,10,False,8
Team2,10,True,1
Team1,11,False,8
Team2,11,False,8
Team1,12,False,8
Team2,12,True,1
Team1,13,False,8
Team2,13,True,1
Team1,14,False,8
Team2,14,False,8
Team1,0,True,1
Team2,0,False,8
Team1,1,False,8
Team2,1,False,8
Team1,2,False,8
Team2,2,False,8
Team1,3,False,8
Team2,3,True,1
Team1,4,False,8
Team2,4,True,1
Team1,5,False,8
Team2,5,True,1
Team1,6,False,8
Team2,6,False,8
Team1,7,False,8
Team2,7,False,8
Team1,8,False,8
Team2,8,True,1
Team1,9,False,8
Team2,9,True,1
Team1,10,False,8
Team2,10,True,1
Team1,11,False,8
Team2,11,False,8
Team1,12,False,8
Team2,12,True,1
Team1,13,False,8
Team2,13,True,1
Team1,14,False,8
Team2,14,False,8
Team1,0,True,1
Team2,0,False,8
Team1,1,False,8
Team2,1,False,8
Team1,2,False,8
Team2,2,False,8
Team1,3,False,8
